county,industry,description,notused1,notused2,employment,laborinc,output
Ingham,532,"* Employment and payroll of state govt, education",,,13562,801003000,907162900
Ingham,531,"* Employment and payroll of state govt, non-education",,,10592,989786400,1123675000
Ingham,534,"* Employment and payroll of local govt, education",,,8506,574446800,646602400
Ingham,482,Hospitals,,,7445,578837100,1091229000
Ingham,440,Real estate,,,5584,153040500,1430506000
Ingham,502,Limited-service restaurants,,,5420,84046510,394446600
Ingham,501,Full-service restaurants,,,5405,99071470,219537100
Ingham,343,Automobile manufacturing,,,4369,520978300,7776703000
Ingham,533,"* Employment and payroll of local govt, non-education",,,4224,259709600,292577900
Ingham,395,Wholesale trade,,,3863,325786200,907238900
Ionia,464,Employment services,,,3675,31460420,83990100
Ionia,346,Motor vehicle body manufacturing,,,2559,154259200,789890900
Ionia,534,"* Employment and payroll of local govt, education",,,1048,70736740,79621910
Ionia,531,"* Employment and payroll of state govt, non-education",,,1028,88679910,100675600
Ionia,533,"* Employment and payroll of local govt, non-education",,,841,40880320,46054040
Ionia,440,Real estate,,,666,2661019,54473430
Ionia,405,Retail - General merchandise stores,,,571,14930930,42007610
Ionia,502,Limited-service restaurants,,,534,7701379,37715020
Ionia,400,Retail - Food and beverage stores,,,527,12837870,32345740
Ionia,433,Monetary authorities and depository credit intermediation,,,520,27370630,72807410
Iosco,533,"* Employment and payroll of local govt, non-education",,,741,32614620,36742260
Iosco,502,Limited-service restaurants,,,570,8836591,41697480
Iosco,414,Scenic and sightseeing transportation and support activities for transportation,,,543,45825980,98568040
Iosco,534,"* Employment and payroll of local govt, education",,,484,26652330,30000100
Iosco,440,Real estate,,,407,1085096,33089120
Iosco,482,Hospitals,,,334,19493430,42043810
Iosco,405,Retail - General merchandise stores,,,330,9319312,25099640
Iosco,503,All other food and drinking places,,,326,5394802,9546321
Iosco,501,Full-service restaurants,,,237,3360725,8699798
Iosco,465,Business support services,,,217,7035217,11110030
Iron,533,"* Employment and payroll of local govt, non-education",,,553,24833490,27976360
Iron,482,Hospitals,,,310,19065930,40011460
Iron,534,"* Employment and payroll of local govt, education",,,158,9679166,10894960
Iron,440,Real estate,,,157,1023082,17526740
Iron,511,Dry-cleaning and laundry services,,,154,8814119,14120790
Iron,400,Retail - Food and beverage stores,,,153,5441595,11590040
Iron,16,Commercial logging,,,139,3413897,10848950
Iron,141,"Other millwork, including flooring",,,126,5592551,21790610
Iron,271,All other industrial machinery manufacturing,,,125,5660704,28832480
Iron,501,Full-service restaurants,,,117,1553334,4190893
Isabella,532,"* Employment and payroll of state govt, education",,,5677,292859900,331673700
Isabella,526,Other local government enterprises,,,1821,93692530,421988500
Isabella,534,"* Employment and payroll of local govt, education",,,1722,104499000,117625000
Isabella,502,Limited-service restaurants,,,1528,22179250,107973400
Isabella,405,Retail - General merchandise stores,,,1192,30485190,86854930
Isabella,440,Real estate,,,1174,14065190,150936200
Isabella,533,"* Employment and payroll of local govt, non-education",,,1138,47845260,53900460
Isabella,501,Full-service restaurants,,,1030,19171320,42137340
Isabella,277,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",,,936,56656610,359135400
Isabella,483,Nursing and community care facilities,,,912,24356060,48272230
Jackson,464,Employment services,,,4022,87520990,161823300
Jackson,534,"* Employment and payroll of local govt, education",,,3546,238712700,268697100
Jackson,482,Hospitals,,,3169,248574900,466812200
Jackson,395,Wholesale trade,,,2514,151709600,516978900
Jackson,440,Real estate,,,2084,17900210,282474000
Jackson,502,Limited-service restaurants,,,2061,37770580,161651600
Jackson,405,Retail - General merchandise stores,,,1945,49397330,141308800
Jackson,531,"* Employment and payroll of state govt, non-education",,,1769,153173500,173893300
Jackson,501,Full-service restaurants,,,1749,28748530,67937750
Jackson,533,"* Employment and payroll of local govt, non-education",,,1498,79139840,89155620
Kalamazoo,482,Hospitals,,,6643,510501300,967235100
Kalamazoo,395,Wholesale trade,,,6625,475893500,1491914000
Kalamazoo,534,"* Employment and payroll of local govt, education",,,5848,354377000,398889800
