county,year,industry,description,notused1,notused2,employment,laborinc,output
Huron,2014,21,Extraction of natural gas liquids,,,209,5807237,134549500
Huron,2014,441,Owner-occupied dwellings,,,0,0,124753400
Huron,2014,482,Hospitals,,,916,56692080,118661100
Huron,2014,66,Other animal food manufacturing,,,56,4438743,81832970
Huron,2014,395,Wholesale trade,,,406,21658360,78871340
Ingham,2014,343,Automobile manufacturing,,,4369,520978300,7776703000
Ingham,2014,440,Real estate,,,5584,153040500,1430506000
Ingham,2014,441,Owner-occupied dwellings,,,0,0,1204827000
Ingham,2014,437,Insurance carriers,,,2382,239766500,1173554000
Ingham,2014,531,"* Employment and payroll of state govt, non-education",,,10592,989786400,1123675000
Ingham,2014,482,Hospitals,,,7445,578837100,1091229000
Ingham,2014,395,Wholesale trade,,,3863,325786200,907238900
Ingham,2014,532,"* Employment and payroll of state govt, education",,,13562,801003000,907162900
Ingham,2014,534,"* Employment and payroll of local govt, education",,,8506,574446800,646602400
Ingham,2014,461,Management of companies and enterprises,,,2661,246471200,508650000
Ionia,2014,346,Motor vehicle body manufacturing,,,2559,154259200,789890900
Ionia,2014,49,Electric power transmission and distribution,,,255,9528019,276757800
Ionia,2014,441,Owner-occupied dwellings,,,0,0,233523800
Ionia,2014,355,Motor vehicle metal stamping,,,335,20700190,122824900
Ionia,2014,408,Air transportation,,,429,10739130,115035300
Ionia,2014,12,Dairy cattle and milk production,,,294,26809450,109556700
Ionia,2014,226,"Copper rolling, drawing, extruding and alloying",,,91,6416038,104359200
Ionia,2014,531,"* Employment and payroll of state govt, non-education",,,1028,88679910,100675600
Ionia,2014,81,Canned fruits and vegetables manufacturing,,,171,8012746,84816080
Ionia,2014,464,Employment services,,,3675,31460420,83990100
Iosco,2014,414,Scenic and sightseeing transportation and support activities for transportation,,,543,45825980,98568040
Iosco,2014,441,Owner-occupied dwellings,,,0,0,96371590
Iosco,2014,355,Motor vehicle metal stamping,,,199,9807938,68931380
Iosco,2014,189,Unlaminated plastics profile shape manufacturing,,,177,6349376,55638040
Iosco,2014,482,Hospitals,,,334,19493430,42043810
Iosco,2014,502,Limited-service restaurants,,,570,8836591,41697480
Iosco,2014,533,"* Employment and payroll of local govt, non-education",,,741,32614620,36742260
Iosco,2014,440,Real estate,,,407,1085096,33089120
Iosco,2014,534,"* Employment and payroll of local govt, education",,,484,26652330,30000100
Iosco,2014,395,Wholesale trade,,,168,6282482,28204900
Iron,2014,441,Owner-occupied dwellings,,,0,0,44962660
Iron,2014,482,Hospitals,,,310,19065930,40011460
Iron,2014,271,All other industrial machinery manufacturing,,,125,5660704,28832480
Iron,2014,533,"* Employment and payroll of local govt, non-education",,,553,24833490,27976360
Iron,2014,141,"Other millwork, including flooring",,,126,5592551,21790610
Iron,2014,440,Real estate,,,157,1023082,17526740
Iron,2014,433,Monetary authorities and depository credit intermediation,,,113,5391129,14758720
Iron,2014,511,Dry-cleaning and laundry services,,,154,8814119,14120790
Iron,2014,395,Wholesale trade,,,82,2675559,13184370
Iron,2014,461,Management of companies and enterprises,,,82,4213049,11998370
Isabella,2014,264,Construction machinery manufacturing,,,745,42335280,505030300
Isabella,2014,526,Other local government enterprises,,,1821,93692530,421988500
Isabella,2014,277,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",,,936,56656610,359135400
Isabella,2014,532,"* Employment and payroll of state govt, education",,,5677,292859900,331673700
Isabella,2014,441,Owner-occupied dwellings,,,0,0,246847800
Isabella,2014,440,Real estate,,,1174,14065190,150936200
Isabella,2014,134,Sawmills,,,422,31833860,126573900
Isabella,2014,350,Motor vehicle gasoline engine and engine parts manufacturing,,,200,14749830,125244500
Isabella,2014,534,"* Employment and payroll of local govt, education",,,1722,104499000,117625000
Isabella,2014,411,Truck transportation,,,761,35837990,113005900
Jackson,2014,49,Electric power transmission and distribution,,,1416,230279300,1973906000
Jackson,2014,42,Electric power generation - Fossil  fuel,,,488,81542060,689056600
Jackson,2014,356,Other motor vehicle parts manufacturing,,,1255,77712580,637485200
Jackson,2014,441,Owner-occupied dwellings,,,0,0,630656800
Jackson,2014,395,Wholesale trade,,,2514,151709600,516978900
