county,table,sector,description,direct,indirect,induced,total
Berrien,Output,65,31-33 Manufacturing,0,-17806.750569880955,-3321.0891737746379,-21127.839743655579
Berrien,Output,395,42 Wholesale Trade,-2345685.5,-37714.759327471256,-20210.706418722599,-2403610.9657461937
Berrien,Output,396,44-45 Retail trade,0,-4994.0697686840722,-60172.101567768266,-65166.171336452346
Berrien,Output,408,48-49 Transportation & Warehousing,0,-92710.204246344932,-12033.691179671871,-104743.8954260168
Berrien,Output,417,51-56 Professional Services,0,-264897.90828595537,-201605.16048519625,-466503.06877115142
Berrien,Output,472,"61-72 Educational, Health, Recreation Service",0,-39851.609203212429,-198862.34208957932,-238713.95129279175
Berrien,Output,520,92 Government & non NAICs,0,-26050.305619055871,-19859.649621971377,-45909.955241027244
Berrien,Employment,0,Total,-10.402910232543945,-4.689759108508337,-4.9127334586271738,-20.005402799679459
Berrien,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.0008405599473452108,-0.022033805580764693,-0.022874365528109897
Berrien,Employment,20,21 Mining,0,-0.0033846377588249276,-0.0029644059481219258,-0.0063490437069468539
Berrien,Employment,41,22 Utilities,0,-0.020636330522925801,-0.016014331961192833,-0.036650662484118628
Berrien,Employment,52,23 Construction,0,-0.051210452572838933,-0.039011441662423318,-0.090221894235262251
Berrien,Employment,65,31-33 Manufacturing,0,-0.11337509529219413,-0.012808922973963566,-0.12618401826615769
Berrien,Employment,395,42 Wholesale Trade,-10.402910232543945,-0.16726165870433904,-0.08963271513493791,-10.659804606383222
Berrien,Employment,396,44-45 Retail trade,0,-0.069325112342753736,-0.82427388775378363,-0.89359900009653725
Berrien,Employment,408,48-49 Transportation & Warehousing,0,-0.98017375398762718,-0.10833515849372423,-1.0885089124813514
Berrien,Employment,417,51-56 Professional Services,0,-2.5792990294246625,-0.94032212321541808,-3.5196211526400818
Berrien,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.59191598495914821,-2.771696081746962,-3.3636120667061102
Berrien,Employment,520,92 Government & non NAICs,0,-0.11233649299567727,-0.085640584155881702,-0.19797707715155899
Branch,Output,0,Total,-705841.25,-142847.1204680182,-95397.055228911064,-944085.42569692922
Branch,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-46.172338631721011,-551.15725713373297,-597.32959576545397
Branch,Output,20,21 Mining,0,-298.96949599306959,-223.65031593163647,-522.61981192470603
Branch,Output,41,22 Utilities,0,-5077.9990444181931,-2673.210630103963,-7751.2096745221561
Branch,Output,52,23 Construction,0,-4100.6224366958122,-1950.933062672555,-6051.5554993683672
Branch,Output,65,31-33 Manufacturing,0,-933.70986460291454,-718.21758042244051,-1651.9274450253558
Branch,Output,395,42 Wholesale Trade,-705841.25,-16130.854410529137,-5464.4682247627961,-727436.57263529196
Branch,Output,396,44-45 Retail trade,0,-1653.0607364048929,-12996.90372698988,-14649.964463394774
Branch,Output,408,48-49 Transportation & Warehousing,0,-29630.021236339358,-3279.0776224452534,-32909.098858784615
Branch,Output,417,51-56 Professional Services,0,-71696.174242654277,-41969.332629803728,-113665.50687245799
Branch,Output,472,"61-72 Educational, Health, Recreation Service",0,-11761.040190268957,-24390.928997355131,-36151.96918762409
Branch,Output,520,92 Government & non NAICs,0,-1518.4964714798844,-1179.1751812899456,-2697.67165276983
Branch,Employment,0,Total,-3.7194812297821045,-1.6250469688384894,-0.82599038241126499,-6.1705185810318595
Branch,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00065316100074979257,-0.0084988169541025567,-0.0091519779548523503
Branch,Employment,20,21 Mining,0,-0.0017714940566169019,-0.0013144770292637343,-0.0030859710858806362
Branch,Employment,41,22 Utilities,0,-0.0044707488531714381,-0.002902490541341732,-0.0073732393945131697
Branch,Employment,52,23 Construction,0,-0.031560583348213163,-0.01432716914500878,-0.045887752493221946
Branch,Employment,65,31-33 Manufacturing,0,-0.0061472761630603388,-0.0018553507370663921,-0.0080026269001267306
Branch,Employment,395,42 Wholesale Trade,-3.7194812297821045,-0.085002700309346854,-0.028795409284474712,-3.8332793393759261
Branch,Employment,396,44-45 Retail trade,0,-0.023843474834211679,-0.17560464375633259,-0.19944811859054426
Branch,Employment,408,48-49 Transportation & Warehousing,0,-0.30305161242680784,-0.028851633552411007,-0.33190324597921894
Branch,Employment,417,51-56 Professional Services,0,-1.0187139621173997,-0.1913373807213076,-1.2100513428387072
Branch,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.14423928293123092,-0.36816006944250379,-0.51239935237373468
Branch,Employment,520,92 Government & non NAICs,0,-0.0055926727976808198,-0.0043429412474522092,-0.0099356140451330281
Calhoun,Output,0,Total,-2359911,-428293.96563153761,-480460.34969352779,-3268665.315325066
Calhoun,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-17.63245615712173,-99.274925633449286,-116.90738179057102
Calhoun,Output,20,21 Mining,0,-621.75470079134766,-68.794281980313812,-690.54898277166137
Calhoun,Output,41,22 Utilities,0,-10914.508380413543,-8829.7418301387224,-19744.250210552262
Calhoun,Output,52,23 Construction,0,-8236.2644337944366,-5733.4579584627627,-13969.722392257199
Calhoun,Output,65,31-33 Manufacturing,0,-17574.776019830253,-2742.3932074728727,-20317.169227303126
Calhoun,Output,395,42 Wholesale Trade,-2359911,-41381.815477252007,-24181.371283794306,-2425474.1867610463
Calhoun,Output,396,44-45 Retail trade,0,-4008.9396286192323,-54889.798456172299,-58898.738084791534
Calhoun,Output,408,48-49 Transportation & Warehousing,0,-82848.63436742904,-12303.192941375608,-95151.82730880467
Calhoun,Output,417,51-56 Professional Services,0,-229823.75045265848,-173641.95575163671,-403465.70620429522
Calhoun,Output,472,"61-72 Educational, Health, Recreation Service",0,-32865.889714592166,-197970.36905686071,-230836.25877145288
Calhoun,Output,520,92 Government & non NAICs,0,0,0,0
Calhoun,Employment,0,Total,-9.3807392120361328,-3.33220289751885,-4.1971728570974847,-16.910114966652465
Calhoun,Employment,1,"11 Ag, Forestry, Fish & Hunting",0,-0.00022188528632432065,-0.0015939192288288051,-0.0018158045151531253
Calhoun,Employment,20,21 Mining,0,-0.0036871402393846803,-0.00042325625955932591,-0.0041103964989440064
Calhoun,Employment,41,22 Utilities,0,-0.0080622919184577743,-0.0071953788798703299,-0.015257670798328106
Calhoun,Employment,52,23 Construction,0,-0.05287321700103028,-0.035114456242769425,-0.087987673243799705
Calhoun,Employment,65,31-33 Manufacturing,0,-0.10457304719613102,-0.011679666713783621,-0.11625271390991469
Calhoun,Employment,395,42 Wholesale Trade,-9.3807392120361328,-0.16449434529574292,-0.096121902623329883,-9.6413554599552054
Calhoun,Employment,396,44-45 Retail trade,0,-0.052050648164032473,-0.70400439311546159,-0.75605504127949408
Calhoun,Employment,408,48-49 Transportation & Warehousing,0,-0.62312789102749278,-0.087317143374639528,-0.71044503440213225
Calhoun,Employment,417,51-56 Professional Services,0,-1.8149580675197581,-0.57157087740978318,-2.386528944929541
Calhoun,Employment,472,"61-72 Educational, Health, Recreation Service",0,-0.50815436387049551,-2.6821518632494592,-3.1903062271199545
